source	target
ABL1	ARHGEF10
RHOA	ARHGEF10
BCR	ARHGEF10
BRCA2	ARHGEF10
ECT2	ARHGEF10
EPHA2	ARHGEF10
EPHA1	ARHGEF10
FLNA	ARHGEF10
KPNB1	ARHGEF10
NF2	ARHGEF10
NTRK3	ARHGEF10
RAC1	ARHGEF10
STIL	ARHGEF10
TSC1	ARHGEF10
SMC1A	ARHGEF10
RAB11A	ARHGEF10
NRP1	ARHGEF10
SMC3	ARHGEF10
STAG1	ARHGEF10
NDC80	ARHGEF10
RAPGEF3	ARHGEF10
STAG2	ARHGEF10
CHEK2	ARHGEF10
ABL1	PTN
CDH17	PTN
COL3A1	PTN
PTK2B	PTN
FLNA	PTN
ITGA4	PTN
ITGB7	PTN
PTK2	PTN
ABL1	ATM
AKT1	ATM
APC	ATM
CDKN1A	ATM
CDKN1B	ATM
CDKN2A	ATM
CDKN2B	ATM
CDKN2C	ATM
CSNK1A1	ATM
CSNK1E	ATM
CSNK2A1	ATM
DDIT3	ATM
DDX5	ATM
MARK2	ATM
EYA1	ATM
MTOR	ATM
HRAS	ATM
HSF1	ATM
IKBKB	ATM
INHBA	ATM
IRF1	ATM
IRF6	ATM
SMAD3	ATM
MARK3	ATM
MDM2	ATM
MLF1	ATM
FOXO4	ATM
MYC	ATM
NBN	ATM
ZWINT	ATM
CHEK2	ATM
ABL1	GATA3
AKT1	GATA3
CDK6	GATA3
CDKN1B	GATA3
CENPF	GATA3
ACE	GATA3
AKR1C2	GATA3
EGFR	GATA3
EGR1	GATA3
ETS1	GATA3
PTK2B	GATA3
FBLN1	GATA3
FGA	GATA3
FGB	GATA3
FGF2	GATA3
FLT4	GATA3
GATA2	GATA3
HAX1	GATA3
SIX2	GATA3
LILRB1	GATA3
ABL1	FYN
CSF1R	FYN
DYRK1A	FYN
EGFR	FYN
EPHA1	FYN
EPHA3	FYN
EPHA4	FYN
ERBB2	FYN
ERBB4	FYN
PTK2B	FYN
FES	FYN
FGFR1	FYN
FGFR3	FYN
FGFR2	FYN
FGFR4	FYN
FLT1	FYN
FLT4	FYN
ABI1	FYN
MALT1	FYN
ABL1	KIT
ABL2	KIT
ADRA1A	KIT
ADRB3	KIT
AKT1	KIT
CHGA	KIT
CSF1R	KIT
CTNNB1	KIT
DDIT3	KIT
GSDME	KIT
DYRK1A	KIT
LPAR1	KIT
EGFR	KIT
EPHA2	KIT
EP300	KIT
EPHA1	KIT
EPHA3	KIT
EPHA4	KIT
EPHB1	KIT
ERBB2	KIT
ERBB4	KIT
ESR1	KIT
PTK2B	KIT
FES	KIT
FGF2	KIT
FGFR1	KIT
FGFR3	KIT
FGFR2	KIT
FGFR4	KIT
FLNA	KIT
FLT1	KIT
FLT4	KIT
FYN	KIT
GRB2	KIT
HGF	KIT
NRG1	KIT
HLA-DRB1	KIT
HMGB1	KIT
FOXA1	KIT
HRAS	KIT
IGF2	KIT
IL1A	KIT
IL1B	KIT
IL6ST	KIT
INSR	KIT
IRF5	KIT
JAK2	KIT
KDR	KIT
ABI1	KIT
ABL1	ANK3
CR1	ANK3
ECT2	ANK3
EPHA2	ANK3
FLNA	ANK3
ABL1	ANGPT1
ADAM10	ANGPT1
AKT1	ANGPT1
CDH13	ANGPT1
CSPG4	ANGPT1
CTNNB1	ANGPT1
AKR1C2	ANGPT1
EGFR	ANGPT1
ERBB3	ANGPT1
ETS1	ANGPT1
PTK2B	ANGPT1
FBLN1	ANGPT1
FGA	ANGPT1
FGB	ANGPT1
FGF2	ANGPT1
FLNA	ANGPT1
FLT4	ANGPT1
FMR1	ANGPT1
GATA1	ANGPT1
GATA2	ANGPT1
GATA3	ANGPT1
AKT3	ANGPT1
HUWE1	ANGPT1
PTPRU	ANGPT1
STUB1	ANGPT1
HAX1	ANGPT1
ABL1	DDR2
ABL2	DDR2
AKT1	DDR2
CDKN1A	DDR2
CSF1R	DDR2
